ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,reason,evidence_url,changed_by,RuleAction
admin-ui-20260722_171240_1,2026-07-22T17:12:42.295567,NYC_GOID_000177,Economic Development Corporation,principal_officer_full_name,Andrew Kimball,Anthony Shorris,admin_ui_edits.csv,,New CEO appointed https://www.nyc.gov/mayors-office/news/2026/07/mayor-mamdani-appoints-veteran-city-leader-anthony-shorris-as-pr,,@vsubrath-doitt via NYCGO Admin UI,direct_set
admin-ui-20260722_171240_2,2026-07-22T17:12:42.296251,NYC_GOID_000177,Economic Development Corporation,principal_officer_first_name,Andrew,Anthony,admin_ui_edits.csv,,New CEO appointed https://www.nyc.gov/mayors-office/news/2026/07/mayor-mamdani-appoints-veteran-city-leader-anthony-shorris-as-pr,,@vsubrath-doitt via NYCGO Admin UI,direct_set
admin-ui-20260722_171240_3,2026-07-22T17:12:42.296881,NYC_GOID_000177,Economic Development Corporation,principal_officer_last_name,Kimball,Shorris,admin_ui_edits.csv,,New CEO appointed https://www.nyc.gov/mayors-office/news/2026/07/mayor-mamdani-appoints-veteran-city-leader-anthony-shorris-as-pr,,@vsubrath-doitt via NYCGO Admin UI,direct_set
