ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,reason,evidence_url,changed_by,RuleAction
admin-ui-20251210_003517_1,2025-12-10T00:35:18.121785,NYC_GOID_000085,Queens Theatre in the Park,Name,Queens Theatre in the Park,Queens Theatre,admin_ui_edits.csv,"Set to ""Queens Theatre","Preferred name is Queens Theatre, alternate name is Queens Theatre in the Park",,@npstorey via NYCGO Admin UI,direct_set
admin-ui-20251210_003517_2,2025-12-10T00:35:18.122573,NYC_GOID_000085,Queens Theatre in the Park,AlternateOrFormerNames,,Queens Theatre in the Park,admin_ui_edits.csv,"Set to ""Queens Theatre in the Park","Preferred name is Queens Theatre, alternate name is Queens Theatre in the Park",,@npstorey via NYCGO Admin UI,direct_set
