ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,reason,evidence_url,changed_by,RuleAction
admin-ui-20260519_192009_1,2026-05-19T19:20:11.287723,NYC_GOID_000151,Department of Records and Information Services,principal_officer_full_name,Pauline Toole,Shawn(ta) Smith-Cruz,admin_ui_edits.csv,,Mayoral appointment,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260519_192009_2,2026-05-19T19:20:11.288611,NYC_GOID_000151,Department of Records and Information Services,principal_officer_first_name,Pauline,Shawn(ta),admin_ui_edits.csv,,Mayoral appointment,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260519_192009_3,2026-05-19T19:20:11.289394,NYC_GOID_000151,Department of Records and Information Services,principal_officer_last_name,Toole,Smith-Cruz,admin_ui_edits.csv,,Mayoral appointment,,@tlau-oti via NYCGO Admin UI,direct_set
