record_id,record_name,field_name,action,justification,evidence_url
NYC_GOID_000464,National September 11 Memorial and Museum,Name - MOA,"Set to ""World Trade Center Memorial Foundation - Board of Directors National September 11 Memorial and Museum at the WTC""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000476,Metropolitan Transportation Authority,Name - MOA,"Set to ""Metropolitan Transportation Authority Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_100013,Archival Review Board,Name - MOA,"Set to ""Archival Review Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_100014,Build NYC Resource Corporation,Name - MOA,"Set to ""Build NYC Resource Corporation""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_100016,Cultural Affairs Advisory Commission,Name - MOA,"Set to ""Cultural Affairs Advisory Commission - Department of Cultural Affairs""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_100023,Tax Appeals Tribunal,Name - MOA,"Set to ""Tax Appeals Tribunal - Office of Administrative Tax Appeals""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_100024,New York City Tax Commission,Name - MOA,"Set to ""Tax Commission - Office of Administrative Tax Appeals""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_100025,Young Men's Initiative Advisory Board,Name - MOA,"Set to ""Young Men's Initiative Advisory Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_100026,Youth Board,Name - MOA,"Set to ""Youth Board (DYCD)""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NEW,Technology Development Corporation,Name - MOA,"Set to ""Technology Development Corporation""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NEW,Community Investment Advisory Board,Name - MOA,"Set to ""Community Investment Advisory Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NEW,Civil Service Commission - Screening Committee,Name - MOA,"Set to ""Civil Service Commission - Screening Committee""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NEW,MTA Capital Program Review Board,Name - MOA,"Set to ""MTA Capital Program Review Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NEW,World Trade Center Captive Insurance Company,Name - MOA,"Set to ""World Trade Center Captive Insurance Company, Inc.""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NEW,Quadrennial Advisory Commission for the Review of Compensation Levels of Elected Officials,Name - MOA,"Set to ""Quadrennial Advisory Commission for the Review of Compensation Levels of Elected Officials""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NEW,Veterans' Advisory Board,Name - MOA,"Set to ""Veterans' Advisory Board - Mayor's Office of Veterans' Affairs""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NEW,New York City Global Partners,Name - MOA,"Set to ""New York City Global Partners, Inc - Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
