Row(s),Column,feedback
NYC_GOID_000337,operational_status,"Set to ""Active"""
NYC_GOID_000025,name_alphabetized,"Set to ""Standards and Appeals, Board of"""
NYC_GOID_000168,name,"Set to ""Bronx District Attorney's Office"""
NYC_GOID_000168,name_alphabetized,"Set to ""District Attorney's Office, Bronx"""
NYC_GOID_000168,alternate_or_former_names,"Set to ""Bronx County District Attorney's Office"""
NYC_GOID_000395,name_alphabetized,"Set to ""Public Administrator, Bronx County"""
NYC_GOID_000169,name_alphabetized,"Set to ""District Attorney's Office, Brooklyn"""
NYC_GOID_000169,alternate_or_former_names,"Set to ""Kings County District Attorney's Office"""
NYC_GOID_000120,name_alphabetized,"Set to ""Community Services Board - Developmental Disabilities Subcommittee"""
NYC_GOID_000122,name_alphabetized,"Set to ""Community Services Board - Substance Use Subcommittee"""
NYC_GOID_000100,name,"Set to ""City University Construction Fund"""
NYC_GOID_000127,name,"Set to ""Council for Airport Opportunity"""
NYC_GOID_000127,name_alphabetized,"Set to ""Airport Opportunity, Council for"""
NYC_GOID_000127,acronym,"Set to ""CAO"""
NYC_GOID_000127,organization_type,"Set to ""Nonprofit Organization"""
NYC_GOID_000130,name,"Set to ""Cultural Institutions Retirement System"""
NYC_GOID_000130,name_alphabetized,"Set to ""Cultural Institutions Retirement System"""
NYC_GOID_000130,url,"Set to ""https://cirsplans.org/"""
NYC_GOID_000130,acronym,"Set to ""CIRS"""
NYC_GOID_000246,name_alphabetized,"Set to ""Administration and Chief of Staff, Deputy Mayor for"""
NYC_GOID_000191,name,"Set to ""Fire Department of the City of New York"""
NYC_GOID_000191,alternate_or_former_names,"Set to ""Fire Department"""
NYC_GOID_000191,name_alphabetized,"Set to ""Fire Department of the City of New York"""
NYC_GOID_000216,name,"Set to ""Department of Housing Preservation and Development"""
NYC_GOID_000216,alternate_or_former_names,"Set to ""Housing Preservation and Development"""
NYC_GOID_000234,name_alphabetized,"Set to ""Public Administrator, Kings County"""
NYC_GOID_000170,name_alphabetized,"Set to ""District Attorney's Office, Manhattan"""
NYC_GOID_000170,alternate_or_former_names,"Set to ""New York County District Attorney's Office"""
NYC_GOID_000259,name_alphabetized,"Set to ""Animal Welfare, Mayor's Office of"""
NYC_GOID_000265,name_alphabetized,"Set to ""Correspondence, Mayor's Office of"""
NYC_GOID_000269,name_alphabetized,"Set to ""Food Policy, Mayor's Office of"""
NYC_GOID_000308,name,"Set to ""New York City Municipal Water Finance Authority"""
NYC_GOID_000308,name_alphabetized,"Set to ""Municipal Water Finance Authority, New York City"""
NYC_GOID_000240,name_alphabetized,"Set to ""Loft Board, New York City"""
NYC_GOID_000334,name_alphabetized,"Set to ""Public Administrator, New York County"""
NYC_GOID_000343,name,"Set to ""New York City Office of the Actuary"""
NYC_GOID_000027,name_alphabetized,"Set to ""Borough President, Brooklyn"""
NYC_GOID_000028,name_alphabetized,"Set to ""Borough President, Manhattan"""
NYC_GOID_000029,name_alphabetized,"Set to ""Borough President, Queens"""
NYC_GOID_000030,name_alphabetized,"Set to ""Borough President, Staten Island"""
NYC_GOID_000026,name_alphabetized,"Set to ""Borough President, Bronx"""
NYC_GOID_000172,name,"Set to ""Staten Island District Attorney's Office"""
NYC_GOID_000172,name_alphabetized,"Set to ""District Attorney's Office, Staten Island"""
NYC_GOID_000172,alternate_or_former_names,"Set to ""Richmond County District Attorney's Office"""
NYC_GOID_000389,name,"Set to ""New York City Police Department"""
NYC_GOID_000389,name_alphabetized,"Set to ""Police Department, New York City"""
NYC_GOID_000389,alternate_or_former_names,"Set to ""Police Department"""
NYC_GOID_000401,name_alphabetized,"Set to ""Public Administrator, Queens County"""
NYC_GOID_000171,name_alphabetized,"Set to ""District Attorney's Office, Queens"""
NYC_GOID_000171,alternate_or_former_names,"Set to ""Queens County District Attorney's Office"""
NYC_GOID_000412,name_alphabetized,"Set to ""Public Administrator, Richmond County"""
NYC_GOID_000069,name,"Set to ""Jamaica Center for Arts and Learning"""
NYC_GOID_000069,name_alphabetized,"Set to ""Jamaica Center for Arts and Learning"""
NYC_GOID_100027,name,"Set to ""Office of Film, Theatre, and Broadcasting"""
NYC_GOID_100027,name_alphabetized,"Set to ""Film, Theatre, and Broadcasting, Office of"""
NYC_GOID_000086,name,"Set to ""Snug Harbor Cultural Center and Botanical Garden"""
NYC_GOID_000086,name_alphabetized,"Set to ""Snug Harbor Cultural Center and Botanical Garden"""
NYC_GOID_000426,name_alphabetized,"Set to ""Sports, Wellness, and Recreation Advisory Board"""
NYC_GOID_000459,name,"Set to ""New York City Water Board"""
NYC_GOID_000459,name_alphabetized,"Set to ""Water Board, New York City"""
NYC_GOID_000058,organization_type,"Set to ""Advisory or Regulatory Organization"""
NYC_GOID_000464,organization_type,"Set to ""Nonprofit Organization"""
NYC_GOID_000196,organization_type,"Set to ""Public Benefit or Development Organization"""
NYC_GOID_000218,organization_type,"Set to ""Public Benefit or Development Organization"""
NYC_GOID_000448,organization_type,"Set to ""Public Benefit or Development Organization"""
NYC_GOID_000449,organization_type,"Set to ""Public Benefit or Development Organization"""
