ChangeID,timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
118,2025-06-11T17:08:40.577842,NYC_GOID_000192,PrincipalOfficerGivenName,,Patrick,System_NameParseRule,Parsed from: 'Patrick M. Dunn',v0_6_pipeline_run,NAME_PARSE_SUCCESS
119,2025-06-11T17:08:40.577870,NYC_GOID_000192,PrincipalOfficerMiddleNameOrInitial,,M.,System_NameParseRule,Parsed from: 'Patrick M. Dunn',v0_6_pipeline_run,NAME_PARSE_SUCCESS
120,2025-06-11T17:08:40.577896,NYC_GOID_000192,PrincipalOfficerFamilyName,,Dunn,System_NameParseRule,Parsed from: 'Patrick M. Dunn',v0_6_pipeline_run,NAME_PARSE_SUCCESS
121,2025-06-11T17:08:40.578003,NYC_GOID_000194,PrincipalOfficerFullName,,Anthony Sama,System_NameParseRule,Parsed from: 'Anthony Sama',v0_6_pipeline_run,NAME_PARSE_SUCCESS
122,2025-06-11T17:08:40.578035,NYC_GOID_000194,PrincipalOfficerGivenName,,Anthony,System_NameParseRule,Parsed from: 'Anthony Sama',v0_6_pipeline_run,NAME_PARSE_SUCCESS
123,2025-06-11T17:08:40.578064,NYC_GOID_000194,PrincipalOfficerFamilyName,,Sama,System_NameParseRule,Parsed from: 'Anthony Sama',v0_6_pipeline_run,NAME_PARSE_SUCCESS
124,2025-06-11T17:08:40.578149,NYC_GOID_000196,PrincipalOfficerFullName,,Michael Palermo,System_NameParseRule,Parsed from: 'Michael Palermo',v0_6_pipeline_run,NAME_PARSE_SUCCESS
125,2025-06-11T17:08:40.578179,NYC_GOID_000196,PrincipalOfficerGivenName,,Michael,System_NameParseRule,Parsed from: 'Michael Palermo',v0_6_pipeline_run,NAME_PARSE_SUCCESS
126,2025-06-11T17:08:40.578206,NYC_GOID_000196,PrincipalOfficerFamilyName,,Palermo,System_NameParseRule,Parsed from: 'Michael Palermo',v0_6_pipeline_run,NAME_PARSE_SUCCESS
127,2025-06-11T17:08:40.578428,NYC_GOID_000204,PrincipalOfficerFullName,,Alfred C. Cerullo III,System_NameParseRule,Parsed from: 'Alfred C. Cerullo III',v0_6_pipeline_run,NAME_PARSE_SUCCESS
128,2025-06-11T17:08:40.578461,NYC_GOID_000204,PrincipalOfficerGivenName,,Alfred,System_NameParseRule,Parsed from: 'Alfred C. Cerullo III',v0_6_pipeline_run,NAME_PARSE_SUCCESS
129,2025-06-11T17:08:40.578490,NYC_GOID_000204,PrincipalOfficerMiddleNameOrInitial,,C.,System_NameParseRule,Parsed from: 'Alfred C. Cerullo III',v0_6_pipeline_run,NAME_PARSE_SUCCESS
130,2025-06-11T17:08:40.578520,NYC_GOID_000204,PrincipalOfficerFamilyName,,Cerullo,System_NameParseRule,Parsed from: 'Alfred C. Cerullo III',v0_6_pipeline_run,NAME_PARSE_SUCCESS
131,2025-06-11T17:08:40.578548,NYC_GOID_000204,PrincipalOfficerSuffix,,III,System_NameParseRule,Parsed from: 'Alfred C. Cerullo III',v0_6_pipeline_run,NAME_PARSE_SUCCESS
132,2025-06-11T17:08:40.578654,NYC_GOID_000208,PrincipalOfficerFullName,,Steven Cain,System_NameParseRule,Parsed from: 'Steven Cain',v0_6_pipeline_run,NAME_PARSE_SUCCESS
