record_id,name,name_alphabetized,operational_status,organization_type,url,alternate_or_former_names,acronym,alternate_or_former_acronyms,principal_officer_full_name,principal_officer_first_name,principal_officer_last_name,principal_officer_title,principal_officer_contact_url,in_org_chart,listed_in_nyc_gov_agency_directory,org_chart_oversight,authorizing_authority,authorizing_authority_type,authorizing_url,appointments_summary,governance_structure
NYC_GOID_000038,Brooklyn Public Library,Public Library Brooklyn,Active,Nonprofit Organization,https://www.bklynlibrary.org/,,BPL,,Linda E. Johnson,Linda,Johnson,President and CEO,https://www.bklynlibrary.org/contact,False,False,,New York State Education Law § 260,New York State Law,https://www.nysenate.gov/legislation/laws/EDN/260,Board of Trustees consists of members appointed by Mayor and Brooklyn Borough President. President and CEO selected by Board.,Brooklyn Public Library is governed by a Board of Trustees.
NYC_GOID_000335,New York Public Library,Public Library New York,Active,Nonprofit Organization,https://www.nypl.org/,,NYPL,,Anthony W. Marx,Anthony,Marx,President and CEO,https://www.nypl.org/get-help/contact-us,False,False,,New York State Education Law § 260,New York State Law,https://www.nysenate.gov/legislation/laws/EDN/260,Board of Trustees consists of members appointed by Mayor and Borough Presidents. President and CEO selected by Board.,New York Public Library is governed by a Board of Trustees.
NYC_GOID_000402,Queens Public Library,Public Library Queens,Active,Nonprofit Organization,https://www.queenslibrary.org/,,QPL,,Dennis M. Walcott,Dennis,Walcott,President and CEO,https://www.queenslibrary.org/about-us/contact-us,False,False,,New York State Education Law § 260,New York State Law,https://www.nysenate.gov/legislation/laws/EDN/260,Board of Trustees consists of members appointed by Mayor and Queens Borough President. President and CEO selected by Board.,Queens Public Library is governed by a Board of Trustees.
