RecordID,Column,Feedback
NYC_GOID_000045,_SYSTEM,SUGGEST_REVIEW_DELETE: Record with source name 'Catskill Watershed Corporation' was not found in the new 'Ops' source file.
NYC_GOID_000105,_SYSTEM,SUGGEST_REVIEW_DELETE: Record with source name 'Civilian Complaint Review Board' was not found in the new 'Ops' source file.
NYC_GOID_000268,_SYSTEM,SUGGEST_REVIEW_DELETE: Record with source name 'Mayor's Office of Ethnic & Community Media' was not found in the new 'Ops' source file.
NYC_GOID_000281,_SYSTEM,SUGGEST_REVIEW_DELETE: Record with source name 'Mayor's Office of Talent and Workforce Development' was not found in the new 'Ops' source file.
NYC_GOID_000283,_SYSTEM,SUGGEST_REVIEW_DELETE: Record with source name 'Mayor's Office of Youth Employment' was not found in the new 'Ops' source file.
NYC_GOID_000253,_SYSTEM,SUGGEST_REVIEW_DELETE: Record with source name 'Mayor's Office to End Domestic and Gender-Based Violence' was not found in the new 'Ops' source file.
NYC_GOID_000296,_SYSTEM,SUGGEST_REVIEW_DELETE: Record with source name 'Metropolitan Transportation Authority Capital Review Board' was not found in the new 'Ops' source file.
NYC_GOID_000312,_SYSTEM,SUGGEST_REVIEW_DELETE: Record with source name 'New York City Children's Cabinet' was not found in the new 'Ops' source file.
NYC_GOID_000394,_SYSTEM,SUGGEST_REVIEW_DELETE: Record with source name 'Prospect Park Alliance' was not found in the new 'Ops' source file.
NYC_GOID_000402,_SYSTEM,SUGGEST_REVIEW_DELETE: Record with source name 'Queens Public Library; Queens Borough Public Library Board of Trustees' was not found in the new 'Ops' source file.
NYC_GOID_000405,_SYSTEM,SUGGEST_REVIEW_DELETE: Record with source name 'Randall's Island Park Alliance' was not found in the new 'Ops' source file.
NYC_GOID_000410,_SYSTEM,SUGGEST_REVIEW_DELETE: Record with source name 'Residential Mortgage Insurance Corporation' was not found in the new 'Ops' source file.
NYC_GOID_000424,_SYSTEM,SUGGEST_REVIEW_DELETE: Record with source name 'Soil and Water Conservation District' was not found in the new 'Ops' source file.
NYC_GOID_000431,_SYSTEM,SUGGEST_REVIEW_DELETE: Record with source name 'Task Force on African American Civil Rights History Museum' was not found in the new 'Ops' source file.
