ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,reason,evidence_url,changed_by,RuleAction
admin-ui-20260107_224755_1,2026-01-07T22:47:56.835354,NYC_GOID_000097,New York City Council,principal_officer_full_name,Adrienne Adams,Julie Menin,admin_ui_edits.csv,,New speaker elected,https://council.nyc.gov/press/2026/01/07/3051/,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260107_224755_2,2026-01-07T22:47:56.836197,NYC_GOID_000097,New York City Council,principal_officer_first_name,Adrienne,Julie,admin_ui_edits.csv,,New speaker elected,https://council.nyc.gov/press/2026/01/07/3051/,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260107_224755_3,2026-01-07T22:47:56.836959,NYC_GOID_000097,New York City Council,principal_officer_last_name,Adams,Menin,admin_ui_edits.csv,,New speaker elected,https://council.nyc.gov/press/2026/01/07/3051/,@tlau-oti via NYCGO Admin UI,direct_set
